exercise_id,scale,chord_progression,tempo
1,G,"G,C,Em,D,D7",40
1,G,"G,C,Em,D,D7",50
1,G,"G,C,Em,D,D7",60
1,G,"G,C,Em,D,D7",70
1,G,"G,C,Em,D,D7",80
1,G,"G,C,Em,D,D7",90
1,G,"G,C,Em,D,D7",100
1,G,"G,C,Em,D,D7",125
1,G,"G,C,Em,D,D7",150
1,G,"G,C,Em,D,D7",175
1,G,"G,C,Em,D,D7",200
2,Em,"Em,C,G,D,D7",40
2,Em,"Em,C,G,D,D7",50
2,Em,"Em,C,G,D,D7",60
2,Em,"Em,C,G,D,D7",70
2,Em,"Em,C,G,D,D7",80
2,Em,"Em,C,G,D,D7",90
2,Em,"Em,C,G,D,D7",100
2,Em,"Em,C,G,D,D7",125
2,Em,"Em,C,G,D,D7",150
2,Em,"Em,C,G,D,D7",175
2,Em,"Em,C,G,D,D7",200
3,C,"C,F,Am,G,G7",40
3,C,"C,F,Am,G,G7",50
3,C,"C,F,Am,G,G7",60
3,C,"C,F,Am,G,G7",70
3,C,"C,F,Am,G,G7",80
3,C,"C,F,Am,G,G7",90
3,C,"C,F,Am,G,G7",100
3,C,"C,F,Am,G,G7",125
3,C,"C,F,Am,G,G7",150
3,C,"C,F,Am,G,G7",175
3,C,"C,F,Am,G,G7",200
4,Am,"Am,F,C,G,G7",40
4,Am,"Am,F,C,G,G7",50
4,Am,"Am,F,C,G,G7",60
4,Am,"Am,F,C,G,G7",70
4,Am,"Am,F,C,G,G7",80
4,Am,"Am,F,C,G,G7",90
4,Am,"Am,F,C,G,G7",100
4,Am,"Am,F,C,G,G7",125
4,Am,"Am,F,C,G,G7",150
4,Am,"Am,F,C,G,G7",175
4,Am,"Am,F,C,G,G7",200
5,D,"D,G,Bm,A,A7",40
5,D,"D,G,Bm,A,A7",50
5,D,"D,G,Bm,A,A7",60
5,D,"D,G,Bm,A,A7",70
5,D,"D,G,Bm,A,A7",80
5,D,"D,G,Bm,A,A7",90
5,D,"D,G,Bm,A,A7",100
5,D,"D,G,Bm,A,A7",125
5,D,"D,G,Bm,A,A7",150
5,D,"D,G,Bm,A,A7",175
5,D,"D,G,Bm,A,A7",200
6,Bm,"Bm,G,D,A,A7",40
6,Bm,"Bm,G,D,A,A7",50
6,Bm,"Bm,G,D,A,A7",60
6,Bm,"Bm,G,D,A,A7",70
6,Bm,"Bm,G,D,A,A7",80
6,Bm,"Bm,G,D,A,A7",90
6,Bm,"Bm,G,D,A,A7",100
6,Bm,"Bm,G,D,A,A7",125
6,Bm,"Bm,G,D,A,A7",150
6,Bm,"Bm,G,D,A,A7",175
6,Bm,"Bm,G,D,A,A7",200
7,Am,"A,D,F#m,E,E7",40
7,Am,"A,D,F#m,E,E7",50
7,Am,"A,D,F#m,E,E7",60
7,Am,"A,D,F#m,E,E7",70
7,Am,"A,D,F#m,E,E7",80
7,Am,"A,D,F#m,E,E7",90
7,Am,"A,D,F#m,E,E7",100
7,Am,"A,D,F#m,E,E7",125
7,Am,"A,D,F#m,E,E7",150
7,Am,"A,D,F#m,E,E7",175
7,Am,"A,D,F#m,E,E7",200
8,F#m,"F#m,D,A,E,E7",40
8,F#m,"F#m,D,A,E,E7",50
8,F#m,"F#m,D,A,E,E7",60
8,F#m,"F#m,D,A,E,E7",70
